,term,frq_pre,frq_post,diff
304,armut,0.00018441523605150216,9.132539237302509e-05,-9.308984367847707e-05
588,fernen,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
514,problemen,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
551,sprachlichen,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
577,kranken,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
587,gedanke,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
579,verlangen,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
566,zweifellos,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
599,militärische,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
572,inhalt,0.00011735515021459227,2.609296924943574e-05,-9.126218096515654e-05
224,modernen,0.00023471030042918455,0.00014351133087189656,-9.119896955728799e-05
35,wissen,0.0006370708154506437,0.0005479523542381505,-8.911846121249323e-05
511,mutter,0.00013412017167381974,4.566269618651254e-05,-8.84574754873072e-05
498,mitmenschen,0.00013412017167381974,4.566269618651254e-05,-8.84574754873072e-05
457,höhenfeuer,0.00013412017167381974,4.566269618651254e-05,-8.84574754873072e-05
459,jung,0.00013412017167381974,4.566269618651254e-05,-8.84574754873072e-05
447,elend,0.00013412017167381974,4.566269618651254e-05,-8.84574754873072e-05
208,ausdruck,0.000251475321888412,0.00016308105780897338,-8.839426407943862e-05
684,tätigkeit,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
705,mitteln,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
708,ausbau,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
679,fremder,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
663,selbstverwirklichung,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
662,staatswesens,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
707,formen,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
695,fertig,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
615,verschiedener,0.0001005901287553648,1.304648462471787e-05,-8.754364413064693e-05
253,vielmehr,0.0002179452789699571,0.0001304648462471787,-8.74804327227784e-05
415,bestimmen,0.00015088519313304722,6.523242312358935e-05,-8.565277000945787e-05
398,bewusstsein,0.00015088519313304722,6.523242312358935e-05,-8.565277000945787e-05
413,bergen,0.00015088519313304722,6.523242312358935e-05,-8.565277000945787e-05
401,haltung,0.00015088519313304722,6.523242312358935e-05,-8.565277000945787e-05
442,danken,0.00015088519313304722,6.523242312358935e-05,-8.565277000945787e-05
426,stand,0.00015088519313304722,6.523242312358935e-05,-8.565277000945787e-05
389,waffen,0.00015088519313304722,6.523242312358935e-05,-8.565277000945787e-05
187,geschaffen,0.0002682403433476395,0.00018265078474605017,-8.558955860158931e-05
555,gesicht,0.00011735515021459227,3.2616211561794675e-05,-8.47389386527976e-05
523,entstehung,0.00011735515021459227,3.2616211561794675e-05,-8.47389386527976e-05
544,steigen,0.00011735515021459227,3.2616211561794675e-05,-8.47389386527976e-05
540,menschliche,0.00011735515021459227,3.2616211561794675e-05,-8.47389386527976e-05
596,beschworen,0.00011735515021459227,3.2616211561794675e-05,-8.47389386527976e-05
293,geblieben,0.0002011802575107296,0.00011741836162246082,-8.376189588826879e-05
292,dinge,0.0002011802575107296,0.00011741836162246082,-8.376189588826879e-05
505,höher,0.00013412017167381974,5.218593849887148e-05,-8.193423317494827e-05
507,bauern,0.00013412017167381974,5.218593849887148e-05,-8.193423317494827e-05
506,städte,0.00013412017167381974,5.218593849887148e-05,-8.193423317494827e-05
448,grundsatz,0.00013412017167381974,5.218593849887148e-05,-8.193423317494827e-05
453,landsleute,0.00013412017167381974,5.218593849887148e-05,-8.193423317494827e-05
467,zustand,0.00013412017167381974,5.218593849887148e-05,-8.193423317494827e-05
205,verhältnis,0.000251475321888412,0.0001696043001213323,-8.187102176707969e-05
641,tiefer,0.0001005901287553648,1.9569726937076806e-05,-8.1020401818288e-05
678,übersehen,0.0001005901287553648,1.9569726937076806e-05,-8.1020401818288e-05
722,'s,0.0001005901287553648,1.9569726937076806e-05,-8.1020401818288e-05
655,angehören,0.0001005901287553648,1.9569726937076806e-05,-8.1020401818288e-05
716,ehren,0.0001005901287553648,1.9569726937076806e-05,-8.1020401818288e-05
610,folgenden,0.0001005901287553648,1.9569726937076806e-05,-8.1020401818288e-05
243,hinaus,0.0002179452789699571,0.00013698808855953763,-8.095719041041946e-05
159,denke,0.00030177038626609445,0.00022179023862020379,-7.998014764589066e-05
89,ausland,0.0004191255364806867,0.0003392086002426646,-7.991693623802208e-05
410,besinnen,0.00015088519313304722,7.175566543594828e-05,-7.912952769709894e-05
431,verbundenheit,0.00015088519313304722,7.175566543594828e-05,-7.912952769709894e-05
189,platz,0.0002682403433476395,0.0001891740270584091,-7.906631628923038e-05
584,klaren,0.00011735515021459227,3.913945387415361e-05,-7.821569634043866e-05
559,verzichten,0.00011735515021459227,3.913945387415361e-05,-7.821569634043866e-05
516,beschränken,0.00011735515021459227,3.913945387415361e-05,-7.821569634043866e-05
886,tatsachen,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
922,erziehung,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
923,stände,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
913,vertrauens,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
870,auferlegt,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
909,ernste,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
920,wagnis,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
924,gelöbnis,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
892,staate,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
899,materiellen,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
738,bewegung,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
750,echt,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
891,zweck,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
819,echten,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
752,gebieten,8.382510729613734e-05,6.523242312358935e-06,-7.730186498377841e-05
267,entscheidungen,0.0002011802575107296,0.00012394160393481977,-7.723865357590984e-05
85,vertrauen,0.0004358905579399142,0.00035877832717974144,-7.711223076017275e-05
370,zeichen,0.00016765021459227468,9.132539237302509e-05,-7.632482221924959e-05
